recid,year,amount,dept_code,cofog_level1_code,cofog_level2_code,cofog_level3_code,pog,id_or_non_id,cap_or_cur,cg_lg_or_pc,nuts_region
2009-26,2009,67017.63,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,SCOTLAND
2010-26,2010,67017.63,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,SCOTLAND
2004-27,2004,36615.48,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,WALES
2005-27,2005,31018.54,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,WALES
2006-27,2006,33738.54,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,WALES
2007-27,2007,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,WALES
2008-27,2008,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,WALES
2009-27,2009,36615.48,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,WALES
2010-27,2010,36615.48,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,WALES
2004-28,2004,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,NORTHERN IRELAND
2005-28,2005,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,NORTHERN IRELAND
2006-28,2006,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,NORTHERN IRELAND
2007-28,2007,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,NORTHERN IRELAND
2008-28,2008,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,NORTHERN IRELAND
2009-28,2009,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,NORTHERN IRELAND
2010-28,2010,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,NORTHERN IRELAND
2004-29,2004,32945.72,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_North East
2005-29,2005,27909.73,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_North East
2006-29,2006,30357.13,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_North East
2007-29,2007,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_North East
2008-29,2008,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_North East
2009-29,2009,32945.72,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_North East
2010-29,2010,32945.72,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_North East
2004-30,2004,86055.63,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_North West
2005-30,2005,72901.42,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_North West
2006-30,2006,79294.12,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_North West
2007-30,2007,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_North West
2008-30,2008,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_North West
2009-30,2009,86055.63,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_North West
2010-30,2010,86055.63,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_North West
2004-31,2004,65177.80,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_Yorkshire and The Humber
2005-31,2005,55214.91,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_Yorkshire and The Humber
2006-31,2006,60056.69,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_Yorkshire and The Humber
2007-31,2007,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_Yorkshire and The Humber
2008-31,2008,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_Yorkshire and The Humber
2009-31,2009,65177.80,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_Yorkshire and The Humber
2010-31,2010,65177.80,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_Yorkshire and The Humber
2004-32,2004,52219.81,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_East Midlands
2005-32,2005,44237.64,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_East Midlands
2006-32,2006,48116.83,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_East Midlands
2007-32,2007,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_East Midlands
2008-32,2008,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_East Midlands
